timestamp,spot,wave_surf,rating_rating_key,tides_type,tides_height,rating_rating_value,swells_height,swells_period,wind_directionType,weather_temperature,weather_condition
4pm,LJ Shores,0-3.0ft,POOR_TO_FAIR,HIGH,3.41 FT,2.0,1.55823 FT,14.0,Onshore,65.19204 F,MOSTLY_CLOUDY
4pm,Mission,0-3.0ft,POOR_TO_FAIR,NORMAL,3.39 FT,2.0,2.38153 FT,14.0,Onshore,66.16404 F,CLEAR
4pm,Mission,0-3.0ft,POOR_TO_FAIR,HIGH,3.54 FT,2.0,2.38153 FT,14.0,Onshore,66.16404 F,CLEAR
4pm,OB,0-3.0ft,FAIR,NORMAL,3.53 FT,2.5,0.92215 FT,5.0,Onshore,65.64204 F,CLEAR
4pm,OB,0-3.0ft,FAIR,HIGH,3.71 FT,2.5,0.92215 FT,5.0,Onshore,65.64204 F,CLEAR
4pm,PB,0-3.0ft,FAIR,NORMAL,3.39 FT,3.0,2.38153 FT,14.0,Cross-shore,66.16404 F,CLEAR
4pm,PB,0-3.0ft,FAIR,HIGH,3.54 FT,3.0,2.38153 FT,14.0,Cross-shore,66.16404 F,CLEAR
4pm,Scripps,0-3.0ft,POOR_TO_FAIR,NORMAL,3.28 FT,2.0,1.55823 FT,14.0,Onshore,65.19204 F,MOSTLY_CLOUDY
4pm,Scripps,0-3.0ft,POOR_TO_FAIR,HIGH,3.41 FT,2.0,1.55823 FT,14.0,Onshore,65.19204 F,MOSTLY_CLOUDY
4pm,Tourmo,0-3.0ft,POOR_TO_FAIR,NORMAL,3.39 FT,2.0,2.38153 FT,14.0,Offshore,67.10004 F,MOSTLY_CLOUDY
4pm,Tourmo,0-3.0ft,POOR_TO_FAIR,HIGH,3.54 FT,2.0,2.38153 FT,14.0,Offshore,67.10004 F,MOSTLY_CLOUDY
3pm,Blacks,0-3.0ft,POOR_TO_FAIR,NORMAL,2.84 FT,2.375,1.55397 FT,14.0,Cross-shore,65.012 F,MOSTLY_CLOUDY
3pm,Del Mar,0-3.0ft,FAIR,NORMAL,2.8 FT,3.0,1.55397 FT,14.0,Cross-shore,65.282 F,CLEAR
3pm,LJ Shores,0-3.0ft,POOR_TO_FAIR,NORMAL,2.84 FT,2.0,1.55397 FT,14.0,Onshore,65.012 F,MOSTLY_CLOUDY
3pm,Mission,0-3.0ft,POOR_TO_FAIR,NORMAL,2.83 FT,2.0,0.5043 FT,6.0,Cross-shore,66.074 F,CLEAR
3pm,OB,0-3.0ft,FAIR,NORMAL,2.98 FT,2.625,0.9747 FT,5.0,Onshore,65.642 F,MOSTLY_CLOUDY
3pm,PB,0-3.0ft,FAIR,NORMAL,2.83 FT,3.0,0.5043 FT,6.0,Cross-shore,66.074 F,CLEAR
3pm,Scripps,0-3.0ft,POOR_TO_FAIR,NORMAL,2.84 FT,2.0,1.55397 FT,14.0,Onshore,65.012 F,MOSTLY_CLOUDY
3pm,Tourmo,0-3.0ft,FAIR,NORMAL,2.83 FT,3.0,0.5043 FT,6.0,Offshore,66.56 F,MOSTLY_CLOUDY
2pm,Blacks,0-3.0ft,POOR_TO_FAIR,NORMAL,2.11 FT,2.25,1.54997 FT,14.0,Cross-shore,64.832 F,MOSTLY_CLOUDY
2pm,Del Mar,0-3.0ft,FAIR,NORMAL,2.02 FT,3.0,1.54997 FT,14.0,Cross-shore,65.174 F,CLEAR
2pm,LJ Shores,0-3.0ft,POOR_TO_FAIR,NORMAL,2.11 FT,2.0,1.54997 FT,14.0,Onshore,64.832 F,MOSTLY_CLOUDY
2pm,Mission,0-3.0ft,FAIR,NORMAL,1.96 FT,3.0,2.37431 FT,14.0,Cross-shore,65.678 F,MOSTLY_CLOUDY
2pm,OB,0-3.0ft,FAIR,NORMAL,2.13 FT,2.75,1.01585 FT,6.0,Cross-shore,65.426 F,MOSTLY_CLOUDY
2pm,PB,0-3.0ft,FAIR,NORMAL,1.96 FT,3.0,2.37431 FT,14.0,Cross-shore,65.678 F,MOSTLY_CLOUDY
2pm,Scripps,0-3.0ft,POOR_TO_FAIR,NORMAL,2.11 FT,2.0,1.54997 FT,14.0,Onshore,64.832 F,MOSTLY_CLOUDY
2pm,Tourmo,0-3.0ft,FAIR,NORMAL,1.96 FT,3.0,2.37431 FT,14.0,Offshore,65.822 F,CLEAR
1pm,Blacks,0-3.0ft,POOR_TO_FAIR,NORMAL,1.24 FT,2.125,1.54439 FT,14.0,Cross-shore,64.4 F,BRIEF_SHOWERS
1pm,Del Mar,0-3.0ft,FAIR,NORMAL,1.12 FT,3.0,1.54439 FT,14.0,Cross-shore,64.85 F,MOSTLY_CLOUDY
1pm,LJ Shores,0-3.0ft,POOR_TO_FAIR,NORMAL,1.24 FT,2.0,1.54439 FT,14.0,Onshore,64.4 F,BRIEF_SHOWERS
1pm,Mission,0-3.0ft,FAIR,NORMAL,0.96 FT,3.0,2.36824 FT,14.0,Cross-shore,65.408 F,MOSTLY_CLOUDY
1pm,OB,0-3.0ft,FAIR,NORMAL,1.15 FT,2.875,1.04409 FT,6.0,Cross-shore,65.336 F,MOSTLY_CLOUDY
1pm,PB,0-3.0ft,FAIR,NORMAL,0.96 FT,3.0,2.36824 FT,14.0,Offshore,65.408 F,MOSTLY_CLOUDY
1pm,Scripps,0-3.0ft,POOR_TO_FAIR,NORMAL,1.24 FT,2.0,1.54439 FT,14.0,Onshore,64.4 F,BRIEF_SHOWERS
1pm,Tourmo,0-3.0ft,FAIR,NORMAL,0.96 FT,3.0,2.36824 FT,14.0,Offshore,65.12 F,MOSTLY_CLOUDY
12pm,Blacks,0-3.0ft,FAIR,NORMAL,0.41 FT,3.0,1.52251 FT,14.0,Cross-shore,63.428 F,NIGHT_CLOUDY
12pm,Del Mar,0-3.0ft,FAIR,NORMAL,0.29 FT,3.0,1.52251 FT,14.0,Cross-shore,63.878 F,NIGHT_CLOUDY
12pm,LJ Shores,0-3.0ft,POOR_TO_FAIR,NORMAL,0.41 FT,2.0,1.52251 FT,14.0,Onshore,63.428 F,NIGHT_CLOUDY
12pm,Mission,0-3.0ft,FAIR,NORMAL,0.11 FT,3.0,2.35505 FT,14.0,Cross-shore,64.346 F,NIGHT_CLOUDY
12pm,OB,0-3.0ft,FAIR,NORMAL,0.26 FT,3.0,1.06378 FT,6.0,Cross-shore,64.148 F,NIGHT_CLOUDY
12pm,PB,0-3.0ft,FAIR,NORMAL,0.11 FT,3.0,2.35505 FT,14.0,Offshore,64.346 F,NIGHT_CLOUDY
12pm,Scripps,0-3.0ft,POOR_TO_FAIR,NORMAL,0.41 FT,2.0,1.52251 FT,14.0,Onshore,63.428 F,NIGHT_CLOUDY
12pm,Tourmo,0-3.0ft,FAIR,NORMAL,0.11 FT,3.0,2.35505 FT,14.0,Offshore,64.112 F,NIGHT_OVERCAST
11am,Blacks,0-3.0ft,FAIR,NORMAL,-0.18 FT,3.0,1.51096 FT,14.0,Cross-shore,64.25596 F,NIGHT_MIST
11am,Del Mar,0-3.0ft,POOR_TO_FAIR,NORMAL,-0.26 FT,2.0,1.51096 FT,14.0,Cross-shore,64.14796 F,NIGHT_MIST
11am,LJ Shores,0-3.0ft,POOR_TO_FAIR,NORMAL,-0.18 FT,2.0,1.51096 FT,14.0,Onshore,64.25596 F,NIGHT_MIST
11am,Mission,0-3.0ft,FAIR,NORMAL,-0.36 FT,3.0,2.34134 FT,14.0,Cross-shore,65.20996 F,NIGHT_CLOUDY
11am,OB,0-3.0ft,FAIR,NORMAL,-0.31 FT,3.0,1.10144 FT,6.0,Cross-shore,65.15596 F,NIGHT_CLOUDY
11am,PB,0-3.0ft,FAIR,NORMAL,-0.36 FT,3.0,2.34134 FT,14.0,Offshore,65.20996 F,NIGHT_CLOUDY
11am,Scripps,0-3.0ft,POOR_TO_FAIR,NORMAL,-0.18 FT,2.0,1.51096 FT,14.0,Onshore,64.25596 F,NIGHT_MIST
