timestamp,spot,wave_surf,rating_rating_key,tides_type,tides_height,rating_rating_value,swells_height,swells_period,wind_directionType,weather_temperature,weather_condition
3pm,Del Mar,3-4ft,FAIR,NORMAL,1.89 FT,3.0,1.72503 FT,7.0,Cross-shore,64.544 F,MOSTLY_CLOUDY
3pm,LJ Shores,2-3ft,FAIR,NORMAL,2.01 FT,3.0,1.72503 FT,7.0,Offshore,65.84 F,OVERCAST
3pm,Mission,2-3ft,FAIR,NORMAL,1.92 FT,3.0,2.15787 FT,7.0,Onshore,64.958 F,DRIZZLE
3pm,OB,2-3ft,POOR_TO_FAIR,NORMAL,2.02 FT,2.1666666666666665,2.27356 FT,7.0,Onshore,64.436 F,MIST
3pm,PB,3-4ft,FAIR,NORMAL,1.92 FT,3.0,2.15787 FT,7.0,Onshore,64.958 F,DRIZZLE
3pm,Scripps,2-3ft,FAIR,NORMAL,2.01 FT,3.0,1.72503 FT,7.0,Offshore,65.84 F,OVERCAST
3pm,Tourmo,2-3ft,POOR_TO_FAIR,NORMAL,1.92 FT,2.0,2.15787 FT,7.0,Onshore,65.138 F,OVERCAST
2pm,Blacks,2-3ft,POOR_TO_FAIR,NORMAL,1.94 FT,2.0,1.73642 FT,7.0,Cross-shore,65.696 F,CLOUDY
2pm,Blacks,2-3ft,POOR_TO_FAIR,LOW,1.94 FT,2.0,1.73642 FT,7.0,Cross-shore,65.696 F,CLOUDY
2pm,Del Mar,3-4ft,FAIR,NORMAL,1.91 FT,3.0,1.73642 FT,7.0,Cross-shore,65.408 F,MOSTLY_CLOUDY
2pm,Del Mar,3-4ft,FAIR,LOW,1.87 FT,3.0,1.73642 FT,7.0,Cross-shore,65.408 F,MOSTLY_CLOUDY
2pm,LJ Shores,2-3ft,FAIR,NORMAL,1.94 FT,3.0,1.73642 FT,7.0,Offshore,65.696 F,CLOUDY
2pm,LJ Shores,2-3ft,FAIR,LOW,1.94 FT,3.0,1.73642 FT,7.0,Offshore,65.696 F,CLOUDY
2pm,Mission,2-3ft,FAIR,NORMAL,2.03 FT,3.0,2.0897 FT,7.0,Cross-shore,65.57 F,MIST
2pm,Mission,2-3ft,FAIR,LOW,1.94 FT,3.0,2.0897 FT,7.0,Cross-shore,65.57 F,MIST
2pm,OB,2-3ft,POOR_TO_FAIR,NORMAL,2.07 FT,2.0,2.25745 FT,7.0,Onshore,65.174 F,MIST
2pm,OB,2-3ft,POOR_TO_FAIR,LOW,2.0 FT,2.0,2.25745 FT,7.0,Onshore,65.174 F,MIST
2pm,PB,2-3ft,FAIR,NORMAL,2.03 FT,3.0,2.0897 FT,7.0,Onshore,65.57 F,MIST
2pm,PB,2-3ft,FAIR,LOW,1.94 FT,3.0,2.0897 FT,7.0,Onshore,65.57 F,MIST
2pm,Scripps,2-3ft,FAIR,NORMAL,1.94 FT,3.0,1.73642 FT,7.0,Offshore,65.696 F,CLOUDY
2pm,Scripps,2-3ft,FAIR,LOW,1.94 FT,3.0,1.73642 FT,7.0,Offshore,65.696 F,CLOUDY
2pm,Tourmo,2-3ft,POOR_TO_FAIR,NORMAL,2.03 FT,2.0,2.0897 FT,7.0,Onshore,65.084 F,OVERCAST
2pm,Tourmo,2-3ft,POOR_TO_FAIR,LOW,1.94 FT,2.0,2.0897 FT,7.0,Onshore,65.084 F,OVERCAST
1pm,Blacks,2-3ft,POOR_TO_FAIR,NORMAL,2.14 FT,2.166666666666667,1.76831 FT,7.0,Cross-shore,66.09204 F,CLOUDY
1pm,Del Mar,3-4ft,FAIR,NORMAL,2.2 FT,3.0,1.76831 FT,7.0,Cross-shore,65.40804 F,OVERCAST
1pm,LJ Shores,2-3ft,FAIR,NORMAL,2.14 FT,3.0,1.76831 FT,7.0,Offshore,66.09204 F,CLOUDY
1pm,Mission,2-3ft,FAIR,NORMAL,2.36 FT,3.0,2.06345 FT,7.0,Cross-shore,65.67804 F,FOG
1pm,OB,2-3ft,POOR_TO_FAIR,NORMAL,2.39 FT,2.166666666666667,2.19967 FT,7.0,Cross-shore,65.46204 F,OVERCAST
1pm,PB,2-3ft,FAIR,NORMAL,2.36 FT,3.0,2.06345 FT,7.0,Cross-shore,65.67804 F,FOG
1pm,Scripps,2-3ft,FAIR,NORMAL,2.14 FT,3.0,1.76831 FT,7.0,Offshore,66.09204 F,CLOUDY
1pm,Tourmo,2-3ft,POOR_TO_FAIR,NORMAL,2.36 FT,2.0,2.06345 FT,7.0,Onshore,65.39004 F,MIST
12pm,Blacks,3-4ft,POOR_TO_FAIR,NORMAL,2.51 FT,2.3333333333333335,1.81965 FT,7.0,Cross-shore,65.462 F,NIGHT_OVERCAST
12pm,Del Mar,3-4ft,FAIR,NORMAL,2.64 FT,3.0,1.81965 FT,7.0,Onshore,65.696 F,NIGHT_DRIZZLE
12pm,LJ Shores,2-3ft,FAIR,NORMAL,2.51 FT,3.0,1.81965 FT,7.0,Offshore,65.462 F,NIGHT_OVERCAST
12pm,Mission,2-3ft,FAIR,NORMAL,2.79 FT,3.0,2.13045 FT,7.0,Cross-shore,65.372 F,NIGHT_LIGHT_RAIN_AND_FOG
12pm,OB,3-4ft,POOR_TO_FAIR,NORMAL,2.86 FT,2.3333333333333335,2.31155 FT,7.0,Cross-shore,65.354 F,NIGHT_FOG
12pm,PB,2-3ft,FAIR,NORMAL,2.79 FT,3.0,2.13045 FT,7.0,Onshore,65.372 F,NIGHT_LIGHT_RAIN_AND_FOG
12pm,Scripps,2-3ft,FAIR,NORMAL,2.51 FT,3.0,1.81965 FT,7.0,Offshore,65.462 F,NIGHT_OVERCAST
12pm,Tourmo,2-3ft,POOR_TO_FAIR,NORMAL,2.79 FT,2.0,2.13045 FT,7.0,Onshore,64.85 F,NIGHT_OVERCAST
11am,Blacks,3-4ft,FAIR,NORMAL,2.91 FT,2.5,1.87402 FT,7.0,Onshore,65.282 F,NIGHT_DRIZZLE
11am,Del Mar,3-4ft,FAIR,NORMAL,3.06 FT,3.0,1.87402 FT,7.0,Onshore,65.462 F,NIGHT_FOG
11am,LJ Shores,2-3ft,FAIR,NORMAL,2.91 FT,3.0,1.87402 FT,7.0,Cross-shore,65.282 F,NIGHT_DRIZZLE
11am,Mission,2-3ft,FAIR,NORMAL,3.19 FT,3.0,2.36959 FT,7.0,Cross-shore,64.922 F,NIGHT_DRIZZLE
11am,OB,2-3ft,FAIR,NORMAL,3.31 FT,2.5,2.46788 FT,7.0,Cross-shore,65.012 F,NIGHT_OVERCAST
11am,PB,2-3ft,FAIR,NORMAL,3.19 FT,3.0,2.36959 FT,7.0,Onshore,64.922 F,NIGHT_DRIZZLE
11am,Scripps,2-3ft,FAIR,NORMAL,2.91 FT,3.0,1.87402 FT,7.0,Cross-shore,65.282 F,NIGHT_DRIZZLE
11am,Tourmo,2-3ft,FAIR,NORMAL,3.19 FT,3.0,2.36959 FT,7.0,Onshore,64.544 F,NIGHT_OVERCAST
10am,Blacks,3-4ft,FAIR,NORMAL,3.21 FT,2.6666666666666665,1.80594 FT,7.0,Onshore,65.21004 F,NIGHT_MIST
10am,Del Mar,2-3ft,FAIR,NORMAL,3.33 FT,3.0,1.80594 FT,7.0,Onshore,65.80404 F,NIGHT_FOG
10am,LJ Shores,2-3ft,FAIR,NORMAL,3.21 FT,3.0,1.80594 FT,7.0,Cross-shore,65.21004 F,NIGHT_MIST
10am,Mission,2-3ft,FAIR,NORMAL,3.44 FT,3.0,2.22907 FT,7.0,Onshore,64.94004 F,NIGHT_FOG
10am,OB,2-3ft,FAIR,NORMAL,3.59 FT,2.6666666666666665,2.51207 FT,7.0,Cross-shore,64.81404 F,NIGHT_MIST
10am,PB,2-3ft,FAIR,NORMAL,3.44 FT,3.0,2.22907 FT,7.0,Onshore,64.94004 F,NIGHT_FOG
10am,Scripps,2-3ft,FAIR,NORMAL,3.21 FT,3.0,1.80594 FT,7.0,Cross-shore,65.21004 F,NIGHT_MIST
10am,Tourmo,2-3ft,FAIR,NORMAL,3.44 FT,3.0,2.22907 FT,7.0,Onshore,64.76004 F,NIGHT_OVERCAST
9am,Blacks,3-4ft,FAIR,NORMAL,3.29 FT,2.8333333333333335,1.79012 FT,7.0,Onshore,65.33604 F,NIGHT_FOG
9am,Blacks,3-4ft,FAIR,HIGH,3.28 FT,2.8333333333333335,1.79012 FT,7.0,Onshore,65.33604 F,NIGHT_FOG
