timestamp,spot,wave_surf,rating_rating_key,tides_type,tides_height,rating_rating_value,swells_height,swells_period,wind_directionType,weather_temperature,weather_condition
1pm,Del Mar,4-5ft,FAIR,NORMAL,0.01 FT,3.0,2.59127 FT,16.0,Cross-shore,66.18196 F,MOSTLY_CLOUDY
1pm,LJ Shores,3-4ft,FAIR,NORMAL,0.08 FT,3.0,2.59127 FT,16.0,Cross-shore,66.05596 F,MOSTLY_CLOUDY
1pm,Mission,3-4ft,FAIR,NORMAL,0.02 FT,3.0,3.12451 FT,16.0,Cross-shore,64.92196 F,MIST
1pm,Mission,3-4ft,FAIR,LOW,0.0 FT,3.0,3.12451 FT,16.0,Cross-shore,64.92196 F,MIST
1pm,OB,4-5ft,FAIR,NORMAL,0.01 FT,3.0,3.21089 FT,16.0,Cross-shore,64.99396 F,MOSTLY_CLOUDY
1pm,PB,4-5ft,FAIR,NORMAL,0.02 FT,3.0,3.12451 FT,16.0,Onshore,64.92196 F,MIST
1pm,PB,4-5ft,FAIR,LOW,0.0 FT,3.0,3.12451 FT,16.0,Onshore,64.92196 F,MIST
1pm,Scripps,3-4ft,FAIR,NORMAL,0.08 FT,3.0,2.59127 FT,16.0,Cross-shore,66.05596 F,MOSTLY_CLOUDY
1pm,Tourmo,3-4ft,FAIR,NORMAL,0.02 FT,3.0,3.12451 FT,16.0,Onshore,64.63396 F,MOSTLY_CLOUDY
1pm,Tourmo,3-4ft,FAIR,LOW,0.0 FT,3.0,3.12451 FT,16.0,Onshore,64.63396 F,MOSTLY_CLOUDY
12pm,Blacks,6-7ft,FAIR,NORMAL,0.21 FT,3.0,2.55331 FT,16.0,Cross-shore,66.308 F,NIGHT_MOSTLY_CLOUDY
12pm,Blacks,6-7ft,FAIR,LOW,0.07 FT,3.0,2.55331 FT,16.0,Cross-shore,66.308 F,NIGHT_MOSTLY_CLOUDY
12pm,Del Mar,4-5ft,FAIR,NORMAL,0.24 FT,3.0,2.55331 FT,16.0,Cross-shore,66.344 F,NIGHT_MOSTLY_CLOUDY
12pm,Del Mar,4-5ft,FAIR,LOW,0.0 FT,3.0,2.55331 FT,16.0,Cross-shore,66.344 F,NIGHT_MOSTLY_CLOUDY
12pm,LJ Shores,3-4ft,FAIR,NORMAL,0.21 FT,3.0,2.55331 FT,16.0,Offshore,66.308 F,NIGHT_MOSTLY_CLOUDY
12pm,LJ Shores,3-4ft,FAIR,LOW,0.07 FT,3.0,2.55331 FT,16.0,Offshore,66.308 F,NIGHT_MOSTLY_CLOUDY
12pm,Mission,3-4ft,FAIR,NORMAL,0.43 FT,3.0,2.99432 FT,16.0,Cross-shore,65.606 F,NIGHT_CLEAR
12pm,OB,4-5ft,FAIR,NORMAL,0.3 FT,3.0,3.05128 FT,16.0,Cross-shore,65.462 F,NIGHT_CLEAR
12pm,OB,4-5ft,FAIR,LOW,0.0 FT,3.0,3.05128 FT,16.0,Cross-shore,65.462 F,NIGHT_CLEAR
12pm,PB,4-5ft,FAIR,NORMAL,0.43 FT,3.0,2.99432 FT,16.0,Onshore,65.606 F,NIGHT_CLEAR
12pm,Scripps,3-4ft,FAIR,NORMAL,0.21 FT,3.0,2.55331 FT,16.0,Offshore,66.308 F,NIGHT_MOSTLY_CLOUDY
